,tenure,Churn,Contract,InternetService,SeniorCitizen,PaymentMethod,MonthlyCharges,ChurnEncode,SeniorCitizenEncode
130,13,False,Month-to-month,Fiber optic,False,Electronic check,85.94999694824219,No,No
131,25,True,Month-to-month,DSL,False,Credit card (automatic),58.59999847412109,Yes,No
132,67,False,Two year,DSL,False,Bank transfer (automatic),50.54999923706055,No,No
133,1,True,Month-to-month,DSL,False,Electronic check,35.45000076293945,Yes,No
134,2,True,Month-to-month,DSL,False,Electronic check,44.34999847412109,Yes,No
135,43,False,Two year,No,False,Credit card (automatic),25.700000762939453,No,No
136,23,False,Month-to-month,Fiber optic,False,Bank transfer (automatic),75.0,No,No
137,64,False,Two year,No,False,Mailed check,20.200000762939453,No,No
138,57,False,Two year,No,False,Mailed check,19.600000381469727,No,No
139,1,True,Month-to-month,Fiber optic,True,Mailed check,70.44999694824219,Yes,Yes
140,72,False,Two year,DSL,True,Credit card (automatic),88.05000305175781,No,Yes
141,8,True,Month-to-month,DSL,False,Electronic check,71.1500015258789,Yes,No
142,61,False,Two year,Fiber optic,False,Bank transfer (automatic),101.0500030517578,No,No
143,64,False,One year,Fiber optic,False,Credit card (automatic),84.30000305175781,No,No
144,71,False,Two year,No,True,Bank transfer (automatic),23.950000762939453,No,Yes
145,65,False,Two year,Fiber optic,False,Credit card (automatic),99.0500030517578,No,No
146,3,False,One year,No,False,Mailed check,19.600000381469727,No,No
147,1,True,Month-to-month,DSL,False,Electronic check,45.650001525878906,Yes,No
148,30,False,One year,DSL,False,Credit card (automatic),64.5,No,No
149,15,False,Month-to-month,DSL,False,Mailed check,69.5,No,No
150,8,False,Month-to-month,DSL,False,Electronic check,68.55000305175781,No,No
151,7,True,Month-to-month,Fiber optic,False,Mailed check,95.0,Yes,No
152,70,False,One year,Fiber optic,False,Credit card (automatic),108.1500015258789,No,No
153,62,False,Two year,DSL,False,Electronic check,86.0999984741211,No,No
154,6,False,Month-to-month,No,False,Mailed check,19.700000762939453,No,No
155,14,False,Month-to-month,Fiber optic,False,Bank transfer (automatic),80.9000015258789,No,No
156,22,False,Month-to-month,Fiber optic,False,Bank transfer (automatic),84.1500015258789,No,No
157,22,False,One year,No,False,Mailed check,20.149999618530277,No,No
158,16,False,Two year,DSL,False,Mailed check,64.25,No,No
159,10,False,Two year,No,False,Bank transfer (automatic),25.700000762939453,No,No
160,13,False,Month-to-month,DSL,False,Electronic check,56.0,No,No
161,20,True,Month-to-month,Fiber optic,False,Electronic check,82.4000015258789,Yes,No
162,2,False,Month-to-month,Fiber optic,False,Electronic check,69.69999694824219,No,No
163,53,False,Two year,DSL,False,Bank transfer (automatic),73.9000015258789,No,No
164,11,False,One year,No,False,Mailed check,20.600000381469727,No,No
165,69,False,Two year,No,False,Mailed check,19.899999618530277,No,No
166,4,True,Month-to-month,Fiber optic,False,Bank transfer (automatic),70.9000015258789,Yes,No
167,72,False,Two year,DSL,False,Bank transfer (automatic),89.05000305175781,No,No
168,58,True,Month-to-month,DSL,True,Electronic check,45.29999923706055,Yes,Yes
169,16,False,Month-to-month,No,False,Electronic check,20.399999618530277,No,No
170,43,False,One year,Fiber optic,False,Bank transfer (automatic),84.25,No,No
171,2,True,Month-to-month,Fiber optic,False,Electronic check,104.4000015258789,Yes,No
172,14,False,Two year,DSL,False,Mailed check,81.94999694824219,No,No
173,53,True,One year,Fiber optic,False,Bank transfer (automatic),94.8499984741211,Yes,No
174,32,False,One year,No,False,Bank transfer (automatic),20.549999237060547,No,No
175,34,False,Month-to-month,No,False,Electronic check,24.700000762939453,No,No
176,15,True,Month-to-month,Fiber optic,True,Mailed check,74.44999694824219,Yes,Yes
177,7,True,Month-to-month,Fiber optic,True,Bank transfer (automatic),76.44999694824219,Yes,Yes
178,15,False,Month-to-month,Fiber optic,False,Bank transfer (automatic),105.3499984741211,No,No
179,61,False,One year,No,False,Credit card (automatic),20.549999237060547,No,No
180,1,True,Month-to-month,DSL,False,Bank transfer (automatic),29.950000762939453,Yes,No
181,1,False,Month-to-month,DSL,False,Mailed check,45.29999923706055,No,No
182,8,True,Month-to-month,Fiber optic,False,Bank transfer (automatic),84.5,Yes,No
183,33,False,One year,DSL,False,Credit card (automatic),74.75,No,No
184,13,True,Month-to-month,Fiber optic,False,Electronic check,79.25,Yes,No
185,1,True,Month-to-month,DSL,False,Electronic check,24.799999237060547,Yes,No
186,20,False,Month-to-month,DSL,False,Mailed check,51.79999923706055,No,No
187,3,False,Month-to-month,DSL,False,Electronic check,30.399999618530277,No,No
188,13,False,One year,No,False,Electronic check,19.649999618530277,No,No
189,40,False,Month-to-month,DSL,False,Credit card (automatic),56.59999847412109,No,No
190,43,False,One year,DSL,False,Credit card (automatic),71.9000015258789,No,No
191,6,True,Month-to-month,Fiber optic,False,Electronic check,91.0,Yes,No
192,69,False,Two year,No,False,Bank transfer (automatic),19.75,No,No
193,72,False,Two year,Fiber optic,False,Credit card (automatic),109.6999969482422,No,No
194,59,False,Two year,No,False,Credit card (automatic),19.299999237060547,No,No
195,20,False,Month-to-month,Fiber optic,False,Electronic check,96.5500030517578,No,No
196,24,False,Two year,No,False,Bank transfer (automatic),24.100000381469727,No,No
197,59,False,Month-to-month,Fiber optic,False,Electronic check,111.3499984741211,No,No
198,72,False,Two year,Fiber optic,False,Bank transfer (automatic),112.25,No,No
199,1,False,Month-to-month,No,False,Mailed check,20.75,No,No
200,27,False,One year,Fiber optic,False,Credit card (automatic),101.9000015258789,No,No
201,14,False,Month-to-month,Fiber optic,False,Credit card (automatic),80.05000305175781,No,No
202,71,False,Two year,Fiber optic,False,Electronic check,105.5500030517578,No,No
203,13,False,Month-to-month,Fiber optic,False,Credit card (automatic),78.30000305175781,No,No
204,44,False,Month-to-month,Fiber optic,False,Credit card (automatic),68.8499984741211,No,No
205,33,False,One year,Fiber optic,False,Bank transfer (automatic),79.94999694824219,No,No
206,72,False,Two year,DSL,False,Credit card (automatic),55.45000076293945,No,No
207,1,True,Month-to-month,Fiber optic,False,Electronic check,79.9000015258789,Yes,No
208,19,True,Month-to-month,Fiber optic,False,Electronic check,106.5999984741211,Yes,No
209,64,False,One year,Fiber optic,False,Credit card (automatic),102.4499969482422,No,No
210,2,True,Month-to-month,DSL,False,Credit card (automatic),46.0,Yes,No
211,1,False,Month-to-month,DSL,False,Electronic check,25.25,No,No
212,61,False,Two year,No,False,Mailed check,19.75,No,No
213,29,False,One year,No,False,Electronic check,20.0,No,No
214,23,False,Month-to-month,Fiber optic,True,Electronic check,86.80000305175781,No,Yes
215,57,False,Month-to-month,DSL,False,Bank transfer (automatic),58.75,No,No
216,72,False,Two year,DSL,False,Credit card (automatic),45.25,No,No
217,66,False,Two year,DSL,False,Bank transfer (automatic),56.59999847412109,No,No
218,65,False,Two year,DSL,False,Bank transfer (automatic),84.19999694824219,No,No
219,8,False,Month-to-month,Fiber optic,False,Bank transfer (automatic),80.0,No,No
220,4,True,Month-to-month,Fiber optic,False,Electronic check,70.1500015258789,Yes,No
221,71,False,Two year,No,False,Bank transfer (automatic),24.75,No,No
222,1,False,One year,No,False,Electronic check,20.200000762939453,No,No
223,4,True,Month-to-month,DSL,False,Mailed check,50.04999923706055,Yes,No
224,12,False,One year,No,False,Bank transfer (automatic),19.350000381469727,No,No
225,24,False,One year,DSL,False,Mailed check,50.59999847412109,No,No
226,31,False,One year,DSL,False,Mailed check,81.1500015258789,No,No
227,1,True,Month-to-month,DSL,False,Mailed check,55.20000076293945,Yes,No
228,30,False,Month-to-month,Fiber optic,False,Credit card (automatic),89.9000015258789,No,No
229,47,False,Two year,DSL,False,Credit card (automatic),85.30000305175781,No,No
230,54,False,Two year,Fiber optic,False,Credit card (automatic),108.0,No,No
231,50,False,Month-to-month,Fiber optic,False,Credit card (automatic),93.5,No,No
232,1,True,Month-to-month,Fiber optic,False,Mailed check,84.5999984741211,Yes,No
233,72,False,Two year,No,False,Credit card (automatic),20.25,No,No
234,29,False,Month-to-month,No,False,Electronic check,25.149999618530277,No,No
235,2,True,Month-to-month,DSL,False,Mailed check,54.400001525878906,Yes,No
236,10,False,Two year,DSL,False,Mailed check,29.600000381469727,No,No
237,18,False,Month-to-month,Fiber optic,False,Electronic check,73.1500015258789,No,No
238,11,True,Month-to-month,Fiber optic,True,Electronic check,95.0,Yes,Yes
239,16,False,Two year,No,False,Mailed check,19.75,No,No
240,72,False,Two year,DSL,False,Bank transfer (automatic),86.5999984741211,No,No
241,72,False,Two year,Fiber optic,False,Bank transfer (automatic),109.1999969482422,No,No
242,41,False,One year,DSL,False,Credit card (automatic),74.69999694824219,No,No
243,65,False,Month-to-month,Fiber optic,True,Electronic check,94.4000015258789,No,Yes
244,13,False,Month-to-month,DSL,True,Electronic check,54.79999923706055,No,Yes
245,4,False,Month-to-month,Fiber optic,True,Electronic check,75.3499984741211,No,Yes
246,41,False,One year,DSL,False,Mailed check,65.0,No,No
247,15,True,Month-to-month,Fiber optic,True,Electronic check,74.4000015258789,Yes,Yes
248,1,True,Month-to-month,DSL,False,Mailed check,48.54999923706055,Yes,No
249,42,False,One year,Fiber optic,False,Electronic check,99.0,No,No
250,51,False,One year,Fiber optic,False,Electronic check,93.5,No,No
251,2,True,Month-to-month,Fiber optic,False,Electronic check,70.4000015258789,Yes,No
252,1,True,Month-to-month,DSL,True,Electronic check,40.20000076293945,Yes,Yes
253,32,False,One year,DSL,False,Credit card (automatic),83.69999694824219,No,No
254,10,False,Month-to-month,No,False,Mailed check,19.850000381469727,No,No
255,67,False,Two year,DSL,False,Electronic check,59.54999923706055,No,No
256,61,False,Two year,Fiber optic,False,Credit card (automatic),115.0999984741211,No,No
257,50,False,One year,Fiber optic,False,Credit card (automatic),114.3499984741211,No,No
258,2,True,Month-to-month,DSL,False,Credit card (automatic),44.59999847412109,Yes,No
259,29,False,Month-to-month,DSL,True,Electronic check,45.0,No,Yes
260,3,True,Month-to-month,DSL,True,Electronic check,41.150001525878906,Yes,Yes
261,13,True,Month-to-month,Fiber optic,True,Electronic check,106.9000015258789,Yes,Yes
262,57,False,Month-to-month,Fiber optic,True,Electronic check,89.8499984741211,No,Yes
263,31,False,Two year,DSL,False,Bank transfer (automatic),49.84999847412109,No,No
264,45,False,One year,Fiber optic,False,Mailed check,113.3000030517578,No,No
265,61,False,Two year,DSL,False,Mailed check,88.0999984741211,No,No
266,50,False,Two year,No,False,Bank transfer (automatic),24.899999618530277,No,No
267,19,False,Month-to-month,Fiber optic,True,Mailed check,105.0,No,Yes
268,59,True,Two year,No,False,Mailed check,19.350000381469727,Yes,No
269,71,False,Two year,No,False,Credit card (automatic),24.25,No,No
270,16,True,Month-to-month,Fiber optic,True,Electronic check,94.4499969482422,Yes,Yes
271,57,False,Two year,DSL,False,Electronic check,59.75,No,No
272,1,True,Month-to-month,DSL,False,Bank transfer (automatic),24.799999237060547,Yes,No
273,20,False,Month-to-month,Fiber optic,True,Electronic check,107.0500030517578,No,Yes
274,1,True,Month-to-month,Fiber optic,False,Mailed check,70.5999984741211,Yes,No
275,5,True,Month-to-month,Fiber optic,False,Electronic check,85.4000015258789,Yes,No
276,52,True,Month-to-month,Fiber optic,False,Electronic check,105.0500030517578,Yes,No
277,21,False,Month-to-month,DSL,True,Bank transfer (automatic),64.94999694824219,No,Yes
278,14,False,Month-to-month,DSL,False,Electronic check,55.0,No,No
279,5,False,Month-to-month,DSL,False,Bank transfer (automatic),50.54999923706055,No,No
280,6,False,Month-to-month,DSL,False,Mailed check,55.150001525878906,No,No
281,10,False,Month-to-month,DSL,False,Electronic check,51.20000076293945,No,No
282,1,False,Month-to-month,No,False,Mailed check,25.399999618530277,No,No
283,68,False,Month-to-month,DSL,False,Mailed check,54.45000076293945,No,No
284,18,True,Month-to-month,Fiber optic,False,Mailed check,95.1500015258789,Yes,No
285,22,False,One year,Fiber optic,False,Credit card (automatic),76.0,No,No
286,20,False,Month-to-month,DSL,False,Electronic check,44.34999847412109,No,No
287,1,True,Month-to-month,Fiber optic,False,Electronic check,70.0,Yes,No
288,8,True,Month-to-month,Fiber optic,True,Electronic check,74.5,Yes,Yes
289,10,True,Month-to-month,DSL,False,Credit card (automatic),44.84999847412109,Yes,No
290,24,True,Month-to-month,Fiber optic,True,Electronic check,76.0999984741211,Yes,Yes
291,35,False,One year,DSL,False,Mailed check,61.20000076293945,No,No
292,23,False,One year,Fiber optic,False,Mailed check,86.80000305175781,No,No
293,6,False,Month-to-month,Fiber optic,True,Electronic check,89.3499984741211,No,Yes
294,12,False,Month-to-month,No,False,Mailed check,19.700000762939453,No,No
295,1,False,Month-to-month,No,False,Mailed check,20.25,No,No
296,71,False,Two year,Fiber optic,False,Electronic check,76.05000305175781,No,No
297,35,False,Month-to-month,Fiber optic,True,Electronic check,100.8000030517578,No,Yes
298,40,False,Month-to-month,DSL,False,Electronic check,74.55000305175781,No,No
299,1,True,Month-to-month,Fiber optic,False,Mailed check,73.5999984741211,Yes,No
300,23,False,One year,DSL,False,Bank transfer (automatic),64.9000015258789,No,No
301,4,True,Month-to-month,Fiber optic,True,Electronic check,95.4499969482422,Yes,Yes
302,4,False,Month-to-month,Fiber optic,False,Electronic check,90.4000015258789,No,No
303,68,False,Two year,DSL,False,Credit card (automatic),60.29999923706055,No,No
304,38,False,Month-to-month,Fiber optic,False,Mailed check,81.8499984741211,No,No
305,52,False,Two year,No,False,Mailed check,24.799999237060547,No,No
306,32,True,Month-to-month,Fiber optic,True,Electronic check,74.9000015258789,Yes,Yes
307,29,False,Two year,DSL,False,Mailed check,75.55000305175781,No,No
308,38,False,Month-to-month,Fiber optic,True,Electronic check,101.1500015258789,No,Yes
309,48,False,One year,DSL,False,Credit card (automatic),78.75,No,No
310,1,False,Month-to-month,No,False,Bank transfer (automatic),19.25,No,No
311,22,False,Month-to-month,Fiber optic,False,Electronic check,89.05000305175781,No,No
312,43,False,Two year,Fiber optic,False,Credit card (automatic),115.0500030517578,No,No
313,5,False,Month-to-month,Fiber optic,True,Electronic check,69.3499984741211,No,Yes
314,5,True,Month-to-month,Fiber optic,False,Electronic check,80.5999984741211,Yes,No
315,51,False,One year,Fiber optic,False,Credit card (automatic),110.0500030517578,No,No
316,71,False,Two year,No,False,Credit card (automatic),19.899999618530277,No,No
317,38,True,One year,DSL,False,Credit card (automatic),80.30000305175781,Yes,No
318,24,True,Month-to-month,Fiber optic,True,Electronic check,93.1500015258789,Yes,Yes
319,35,False,Month-to-month,Fiber optic,False,Credit card (automatic),91.5,No,No
320,54,True,One year,DSL,True,Bank transfer (automatic),82.44999694824219,Yes,Yes
321,72,False,Two year,DSL,False,Electronic check,60.0,No,No
322,1,False,Month-to-month,DSL,False,Electronic check,44.79999923706055,No,No
323,9,False,One year,DSL,False,Mailed check,48.59999847412109,No,No
324,69,False,Two year,DSL,False,Bank transfer (automatic),60.04999923706055,No,No
325,52,False,Month-to-month,Fiber optic,False,Credit card (automatic),102.6999969482422,No,No
326,11,False,Month-to-month,Fiber optic,True,Electronic check,82.9000015258789,No,Yes
327,2,True,Month-to-month,Fiber optic,True,Electronic check,70.3499984741211,Yes,Yes
328,28,False,Month-to-month,DSL,True,Electronic check,35.900001525878906,No,Yes
329,17,False,Month-to-month,Fiber optic,True,Credit card (automatic),82.6500015258789,No,Yes
330,35,False,Two year,No,False,Mailed check,19.850000381469727,No,No
331,8,False,One year,No,False,Mailed check,19.200000762939453,No,No
332,46,False,One year,Fiber optic,False,Credit card (automatic),94.9000015258789,No,No
333,7,True,Month-to-month,Fiber optic,False,Electronic check,73.8499984741211,Yes,No
334,2,True,Month-to-month,Fiber optic,False,Mailed check,80.5999984741211,Yes,No
335,68,True,One year,DSL,False,Bank transfer (automatic),75.80000305175781,Yes,No
336,43,True,Two year,Fiber optic,False,Electronic check,104.5999984741211,Yes,No
337,68,False,Two year,DSL,False,Electronic check,88.1500015258789,No,No
338,36,False,Month-to-month,Fiber optic,False,Credit card (automatic),94.8000030517578,No,No
339,63,True,Month-to-month,Fiber optic,False,Electronic check,103.4000015258789,Yes,No
340,32,False,Month-to-month,DSL,True,Bank transfer (automatic),54.650001525878906,No,Yes
341,71,False,Two year,DSL,False,Credit card (automatic),85.75,No,No
342,66,False,Month-to-month,DSL,False,Bank transfer (automatic),67.44999694824219,No,No
343,63,False,One year,No,False,Mailed check,20.5,No,No
344,41,False,One year,No,False,Credit card (automatic),20.25,No,No
345,1,False,Month-to-month,Fiber optic,True,Electronic check,72.0999984741211,No,Yes
346,2,True,Month-to-month,Fiber optic,False,Electronic check,90.4000015258789,Yes,No
347,70,False,Two year,No,False,Bank transfer (automatic),19.450000762939453,No,No
348,23,False,Month-to-month,DSL,False,Electronic check,44.95000076293945,No,No
349,64,False,One year,Fiber optic,True,Bank transfer (automatic),97.0,No,Yes
350,37,False,Two year,DSL,False,Credit card (automatic),62.79999923706055,No,No
351,17,False,One year,DSL,False,Mailed check,44.59999847412109,No,No
352,7,False,Month-to-month,Fiber optic,True,Electronic check,89.1500015258789,No,Yes
353,4,True,Month-to-month,Fiber optic,False,Bank transfer (automatic),84.80000305175781,Yes,No
354,21,True,Month-to-month,DSL,True,Electronic check,41.900001525878906,Yes,Yes
355,10,True,Month-to-month,Fiber optic,False,Bank transfer (automatic),80.25,Yes,No
356,16,False,Month-to-month,DSL,True,Electronic check,54.09999847412109,No,Yes
357,64,False,Two year,Fiber optic,False,Electronic check,105.25,No,No
358,27,True,Month-to-month,DSL,True,Credit card (automatic),30.75,Yes,Yes
359,42,False,One year,Fiber optic,False,Electronic check,97.0999984741211,No,No
360,5,False,Month-to-month,No,False,Mailed check,20.200000762939453,No,No
361,41,False,Two year,Fiber optic,False,Bank transfer (automatic),98.8000030517578,No,No
362,58,False,One year,DSL,False,Credit card (automatic),50.29999923706055,No,No
363,47,False,Two year,No,False,Mailed check,20.549999237060547,No,No
