tenure,Churn,Contract,SeniorCitizen,MonthlyCharges
38,0,Month-to-month,1,101.1500015258789
48,0,One year,0,78.75
1,0,Month-to-month,0,19.25
22,0,Month-to-month,0,89.05000305175781
43,0,Two year,0,115.0500030517578
5,0,Month-to-month,1,69.3499984741211
5,1,Month-to-month,0,80.5999984741211
51,0,One year,0,110.0500030517578
71,0,Two year,0,19.899999618530277
38,1,One year,0,80.30000305175781
24,1,Month-to-month,1,93.1500015258789
35,0,Month-to-month,0,91.5
54,1,One year,1,82.44999694824219
72,0,Two year,0,60.0
1,0,Month-to-month,0,44.79999923706055
9,0,One year,0,48.59999847412109
69,0,Two year,0,60.04999923706055
52,0,Month-to-month,0,102.6999969482422
11,0,Month-to-month,1,82.9000015258789
2,1,Month-to-month,1,70.3499984741211
28,0,Month-to-month,1,35.900001525878906
17,0,Month-to-month,1,82.6500015258789
35,0,Two year,0,19.850000381469727
8,0,One year,0,19.200000762939453
46,0,One year,0,94.9000015258789
7,1,Month-to-month,0,73.8499984741211
2,1,Month-to-month,0,80.5999984741211
68,1,One year,0,75.80000305175781
43,1,Two year,0,104.5999984741211
68,0,Two year,0,88.1500015258789
36,0,Month-to-month,0,94.8000030517578
63,1,Month-to-month,0,103.4000015258789
32,0,Month-to-month,1,54.650001525878906
71,0,Two year,0,85.75
66,0,Month-to-month,0,67.44999694824219
63,0,One year,0,20.5
41,0,One year,0,20.25
1,0,Month-to-month,1,72.0999984741211
2,1,Month-to-month,0,90.4000015258789
70,0,Two year,0,19.450000762939453
23,0,Month-to-month,0,44.95000076293945
64,0,One year,1,97.0
37,0,Two year,0,62.79999923706055
17,0,One year,0,44.59999847412109
7,0,Month-to-month,1,89.1500015258789
4,1,Month-to-month,0,84.80000305175781
21,1,Month-to-month,1,41.900001525878906
10,1,Month-to-month,0,80.25
16,0,Month-to-month,1,54.09999847412109
64,0,Two year,0,105.25
27,1,Month-to-month,1,30.75
42,0,One year,0,97.0999984741211
5,0,Month-to-month,0,20.200000762939453
41,0,Two year,0,98.8000030517578
58,0,One year,0,50.29999923706055
47,0,Two year,0,20.549999237060547
18,0,Month-to-month,0,75.9000015258789
5,1,Month-to-month,0,96.5
23,0,Month-to-month,0,59.95000076293945
1,0,Month-to-month,0,19.149999618530277
71,0,One year,0,98.6500015258789
72,0,Two year,0,112.5999984741211
33,0,One year,0,20.600000381469727
2,1,Month-to-month,0,85.6500015258789
24,0,Two year,0,35.75
56,0,One year,0,99.75
37,0,Month-to-month,0,96.0999984741211
43,0,One year,0,85.0999984741211
1,0,Month-to-month,0,25.350000381469727
25,1,Month-to-month,0,104.9499969482422
61,0,Two year,0,89.6500015258789
17,0,One year,0,86.75
41,0,One year,0,86.19999694824219
1,1,Month-to-month,0,50.650001525878906
72,0,Two year,1,64.80000305175781
1,1,Month-to-month,0,90.8499984741211
48,0,Two year,0,108.0999984741211
11,1,Month-to-month,1,19.950000762939453
55,1,Month-to-month,1,85.44999694824219
42,0,One year,0,54.75
44,0,Month-to-month,0,90.4000015258789
1,0,Month-to-month,0,44.0
27,0,Month-to-month,0,95.5999984741211
27,0,Month-to-month,1,84.80000305175781
2,0,Month-to-month,1,44.29999923706055
19,0,Month-to-month,0,19.899999618530277
42,0,Month-to-month,1,95.0500030517578
66,0,Two year,0,90.05000305175781
33,0,Month-to-month,1,109.9000015258789
34,1,Month-to-month,0,73.94999694824219
33,0,Month-to-month,1,54.59999847412109
23,0,One year,0,20.049999237060547
32,0,One year,0,19.75
11,0,One year,0,20.049999237060547
69,1,Month-to-month,0,99.4499969482422
68,0,One year,0,55.900001525878906
20,0,Two year,0,19.700000762939453
72,0,Two year,0,19.799999237060547
60,0,One year,0,95.4000015258789
32,0,Month-to-month,1,93.9499969482422
1,1,Month-to-month,0,19.899999618530277
1,1,Month-to-month,0,19.600000381469727
3,1,Month-to-month,1,81.3499984741211
46,0,One year,0,24.450000762939453
29,0,Month-to-month,0,74.94999694824219
51,0,Month-to-month,0,87.3499984741211
48,0,Month-to-month,1,70.6500015258789
16,0,Month-to-month,0,73.25
70,0,Two year,0,98.6999969482422
40,0,Two year,0,24.799999237060547
22,1,Month-to-month,0,83.30000305175781
1,1,Month-to-month,1,75.30000305175781
5,0,Month-to-month,0,24.299999237060547
7,0,Month-to-month,0,69.8499984741211
29,0,One year,0,100.5500030517578
44,0,One year,0,25.700000762939453
10,0,Month-to-month,0,40.70000076293945
55,0,Month-to-month,1,51.650001525878906
52,0,One year,1,105.0999984741211
10,0,Month-to-month,0,85.94999694824219
18,0,Month-to-month,0,75.5999984741211
68,0,One year,0,58.25
61,1,Month-to-month,0,19.399999618530277
72,0,Two year,0,65.19999694824219
2,0,Month-to-month,0,53.45000076293945
12,1,Month-to-month,0,45.400001525878906
41,0,Two year,0,19.75
26,0,Month-to-month,0,44.45000076293945
36,0,One year,0,20.850000381469727
72,0,Two year,0,114.0500030517578
35,0,Month-to-month,0,89.8499984741211
1,0,Month-to-month,0,55.04999923706055
16,0,Month-to-month,0,112.9499969482422
49,0,Month-to-month,1,101.5500030517578
54,0,One year,0,114.6500015258789
18,0,Month-to-month,0,64.80000305175781
36,0,Month-to-month,0,80.4000015258789
60,1,Month-to-month,0,105.9000015258789
1,1,Month-to-month,0,69.55000305175781
52,0,Two year,0,25.049999237060547
8,0,Month-to-month,0,94.75
72,0,Two year,0,105.5
64,0,One year,0,24.700000762939453
22,0,Month-to-month,1,69.75
60,0,Month-to-month,0,60.20000076293945
28,1,Month-to-month,0,81.05000305175781
61,0,Two year,0,24.399999618530277
24,0,Month-to-month,0,104.1500015258789
28,0,One year,0,92.9000015258789
30,0,Two year,0,80.80000305175781
2,0,Month-to-month,0,20.0
1,0,Month-to-month,0,75.0999984741211
6,0,Month-to-month,0,19.649999618530277
24,0,Month-to-month,0,69.44999694824219
4,1,Month-to-month,0,101.1500015258789
7,1,Month-to-month,0,99.8000030517578
72,0,Two year,1,116.0500030517578
70,0,Two year,0,40.04999923706055
64,0,Two year,1,102.0999984741211
72,0,One year,0,89.69999694824219
44,0,Two year,0,19.899999618530277
13,1,Month-to-month,0,55.95000076293945
17,0,One year,1,20.649999618530277
1,1,Month-to-month,0,55.0
9,0,Month-to-month,0,70.05000305175781
24,0,Month-to-month,0,53.59999847412109
1,1,Month-to-month,0,74.69999694824219
24,1,Month-to-month,0,80.25
35,0,Month-to-month,1,76.05000305175781
7,0,Month-to-month,0,75.69999694824219
5,1,Month-to-month,0,96.0999984741211
15,1,Month-to-month,0,69.0
11,0,Two year,0,19.649999618530277
48,1,Month-to-month,0,45.29999923706055
20,0,Month-to-month,1,81.44999694824219
72,0,One year,0,108.5
8,1,Month-to-month,0,83.55000305175781
72,0,Two year,0,84.5
15,0,Month-to-month,0,100.1500015258789
72,0,Two year,0,88.5999984741211
0,0,Two year,0,52.54999923706055
1,1,Month-to-month,0,74.3499984741211
63,0,Two year,0,104.8000030517578
2,0,Month-to-month,0,59.0
2,1,Month-to-month,0,74.4000015258789
61,0,One year,1,64.05000305175781
1,0,Month-to-month,0,20.399999618530277
22,1,One year,0,43.75
28,0,Month-to-month,0,60.900001525878906
70,0,Two year,0,19.799999237060547
5,1,Month-to-month,1,28.450000762939453
12,1,Month-to-month,0,99.6999969482422
34,0,One year,0,116.25
71,0,Two year,1,80.69999694824219
70,0,One year,0,65.19999694824219
52,0,Month-to-month,0,84.05000305175781
69,0,Two year,0,79.44999694824219
20,1,Month-to-month,1,94.0999984741211
11,0,Month-to-month,0,78.0
2,1,Month-to-month,0,94.1999969482422
6,1,Month-to-month,0,80.5
1,0,Month-to-month,0,19.850000381469727
20,0,One year,1,94.3000030517578
61,0,Month-to-month,0,106.4499969482422
5,1,Month-to-month,1,74.3499984741211
56,0,Month-to-month,0,105.4499969482422
30,0,Month-to-month,0,95.0
40,1,Month-to-month,0,104.8000030517578
28,0,One year,0,54.29999923706055
5,0,Month-to-month,1,70.05000305175781
27,1,Month-to-month,1,75.19999694824219
12,0,Month-to-month,0,20.049999237060547
67,0,One year,0,105.4000015258789
29,0,Month-to-month,1,51.59999847412109
55,0,Month-to-month,0,85.5
23,1,Month-to-month,0,75.5999984741211
34,1,Month-to-month,0,100.0500030517578
52,0,One year,0,91.25
72,0,Two year,1,115.75
58,0,One year,0,94.6999969482422
35,0,Two year,0,19.600000381469727
56,0,Two year,1,99.9000015258789
24,0,Two year,0,21.100000381469727
70,0,Two year,0,20.049999237060547
2,0,Month-to-month,0,79.94999694824219
68,0,One year,1,107.1500015258789
1,1,Month-to-month,0,85.0
12,0,Month-to-month,0,89.55000305175781
63,0,Month-to-month,0,81.55000305175781
33,0,One year,0,58.45000076293945
69,0,One year,0,95.6500015258789
60,0,Two year,0,80.5999984741211
72,0,Two year,0,113.0999984741211
11,0,Month-to-month,0,58.95000076293945
1,0,Month-to-month,0,19.549999237060547
10,1,Month-to-month,0,86.05000305175781
13,1,Month-to-month,0,45.54999923706055
34,0,One year,0,78.94999694824219
39,1,Month-to-month,0,86.30000305175781
65,0,One year,0,105.0500030517578
50,0,One year,1,101.9000015258789
15,0,Month-to-month,0,19.75
72,0,Two year,0,110.3000030517578
72,0,Two year,0,115.5999984741211
55,0,Two year,0,19.350000381469727
23,0,Two year,0,25.600000381469727
32,1,Month-to-month,0,80.3499984741211
56,0,One year,0,68.75
1,0,Month-to-month,0,19.899999618530277
38,0,One year,0,70.5999984741211
11,0,Month-to-month,0,70.19999694824219
1,0,Month-to-month,0,49.29999923706055
56,0,One year,0,107.25
3,0,Month-to-month,0,23.600000381469727
7,0,Month-to-month,0,69.69999694824219
59,0,Two year,0,99.5
7,0,Month-to-month,0,64.30000305175781
71,0,Two year,0,70.8499984741211
15,0,One year,0,101.9000015258789
71,0,Two year,0,73.5
35,1,Month-to-month,0,100.25
11,0,One year,0,40.400001525878906
60,0,Two year,0,19.25
47,0,Two year,1,59.59999847412109
11,0,One year,0,64.9000015258789
56,1,One year,0,100.3000030517578
28,0,Month-to-month,1,110.8499984741211
61,0,Two year,0,81.05000305175781
31,0,One year,0,98.0500030517578
9,0,Month-to-month,0,70.5
35,0,Month-to-month,1,94.5500030517578
2,0,Month-to-month,0,19.649999618530277
12,1,Month-to-month,0,19.0
1,1,Month-to-month,0,75.30000305175781
4,1,Month-to-month,1,89.19999694824219
1,0,Month-to-month,0,19.0
3,0,Month-to-month,0,20.0
1,1,Month-to-month,1,85.69999694824219
52,0,Two year,0,63.25
5,0,One year,0,20.100000381469727
72,0,Two year,0,99.1500015258789
71,0,Two year,0,90.4000015258789
72,0,Two year,0,111.9000015258789
46,0,One year,0,24.899999618530277
63,0,Two year,0,83.5
30,0,Month-to-month,0,84.30000305175781
1,0,Month-to-month,0,45.59999847412109
12,1,Month-to-month,0,61.650001525878906
16,0,Two year,0,54.84999847412109
4,0,Month-to-month,0,65.55000305175781
51,0,One year,0,90.3499984741211
65,0,Two year,0,20.399999618530277
16,0,Month-to-month,0,74.55000305175781
2,0,One year,0,19.950000762939453
66,0,One year,0,74.25
46,0,Two year,0,108.6500015258789
32,0,One year,0,109.5500030517578
72,0,Two year,0,86.6500015258789
38,0,Two year,0,81.0
51,0,One year,0,47.84999847412109
72,0,Two year,0,114.5500030517578
65,1,Month-to-month,1,105.25
9,1,Month-to-month,0,29.950000762939453
9,1,Month-to-month,0,65.0
66,0,Two year,0,20.549999237060547
44,0,One year,1,109.8000030517578
50,0,Two year,0,69.5
15,0,Month-to-month,0,48.84999847412109
8,0,Month-to-month,0,25.25
66,0,One year,1,102.8499984741211
57,0,Month-to-month,0,87.55000305175781
7,0,Month-to-month,0,78.55000305175781
10,0,Month-to-month,1,34.54999923706055
62,0,One year,0,92.0500030517578
40,0,One year,0,85.05000305175781
20,0,Two year,0,19.700000762939453
7,1,Month-to-month,0,20.0
25,0,Month-to-month,0,95.1500015258789
23,0,Month-to-month,0,84.25
66,0,One year,1,104.5999984741211
72,0,Two year,1,111.6500015258789
49,1,Month-to-month,1,90.05000305175781
43,1,Month-to-month,1,110.75
46,0,Month-to-month,0,55.0
72,0,Two year,0,89.8499984741211
10,0,One year,0,20.350000381469727
40,0,One year,0,54.54999923706055
65,1,Month-to-month,0,105.5
31,0,Two year,0,99.4499969482422
68,0,Two year,0,70.9000015258789
56,1,One year,1,104.5500030517578
10,1,Month-to-month,0,85.25
68,0,Two year,0,25.399999618530277
43,1,Month-to-month,0,56.150001525878906
1,1,Month-to-month,0,89.55000305175781
49,0,One year,1,89.8499984741211
15,0,Month-to-month,0,25.25
20,1,Month-to-month,1,94.5500030517578
1,1,Month-to-month,0,45.70000076293945
50,0,One year,0,69.6500015258789
2,1,Month-to-month,1,89.5
24,0,Month-to-month,1,70.0
3,1,Month-to-month,0,69.55000305175781
1,1,Month-to-month,0,74.5999984741211
35,0,Two year,0,20.100000381469727
17,0,Month-to-month,0,24.799999237060547
8,1,Month-to-month,1,19.649999618530277
10,0,Month-to-month,0,95.0999984741211
68,0,Two year,0,88.8499984741211
45,0,One year,0,78.80000305175781
2,1,One year,0,19.850000381469727
37,0,Month-to-month,0,20.350000381469727
4,1,Month-to-month,0,24.25
10,0,Month-to-month,0,45.25
1,0,Month-to-month,0,20.049999237060547
65,0,Two year,0,69.55000305175781
57,0,Two year,0,19.5
3,0,Month-to-month,0,74.75
2,1,Month-to-month,0,69.6500015258789
49,0,Month-to-month,0,30.200000762939453
4,1,Month-to-month,0,45.650001525878906
70,0,Two year,0,57.79999923706055
53,0,One year,0,19.850000381469727
53,0,Two year,0,25.549999237060547
1,1,Month-to-month,0,75.05000305175781
22,0,Month-to-month,0,24.850000381469727
52,1,Month-to-month,1,49.150001525878906
65,0,Two year,1,110.3499984741211
48,0,One year,0,24.549999237060547
2,1,Month-to-month,0,34.70000076293945
3,0,Month-to-month,0,107.9499969482422
45,0,Month-to-month,0,81.4000015258789
1,1,Month-to-month,0,80.0
61,0,Two year,0,73.80000305175781
3,0,Month-to-month,0,64.4000015258789
40,0,One year,1,103.75
1,0,Month-to-month,0,71.0999984741211
1,0,Month-to-month,0,49.900001525878906
51,0,One year,0,24.600000381469727
2,1,Month-to-month,1,49.25
52,0,One year,0,30.100000381469727
51,0,Month-to-month,0,83.4000015258789
1,0,Month-to-month,0,20.450000762939453
31,0,One year,0,75.25
47,0,One year,0,20.549999237060547
3,1,Month-to-month,0,75.0999984741211
22,0,One year,1,20.049999237060547
1,0,Month-to-month,0,20.649999618530277
72,0,Two year,0,85.1500015258789
3,1,Month-to-month,0,50.150001525878906
47,0,One year,1,84.94999694824219
72,0,Two year,0,66.5
66,0,Two year,0,63.29999923706055
35,0,Month-to-month,0,83.1500015258789
29,0,Month-to-month,0,84.9000015258789
2,0,Month-to-month,0,20.549999237060547
4,0,Month-to-month,0,49.25
25,1,Month-to-month,0,79.8499984741211
65,0,Two year,0,59.59999847412109
27,0,One year,1,104.6500015258789
29,0,Month-to-month,0,75.30000305175781
29,0,Month-to-month,0,80.0999984741211
1,1,Month-to-month,0,19.549999237060547
20,0,Month-to-month,0,81.0
58,0,Two year,0,24.700000762939453
14,0,Month-to-month,0,86.0
72,0,Two year,0,25.399999618530277
46,0,Month-to-month,0,89.1500015258789
71,0,Two year,0,58.25
32,0,Month-to-month,0,85.6500015258789
26,0,Month-to-month,0,50.34999847412109
68,0,Month-to-month,1,80.3499984741211
2,0,One year,0,20.200000762939453
61,0,Two year,0,20.549999237060547
4,1,Month-to-month,0,85.94999694824219
3,1,Month-to-month,0,45.34999847412109
33,1,Month-to-month,1,94.5
9,0,Month-to-month,1,21.25
22,0,Two year,0,26.25
5,0,Month-to-month,0,80.8499984741211
30,1,Month-to-month,1,91.6999969482422
65,0,Two year,0,74.19999694824219
45,1,Month-to-month,0,87.25
5,0,Month-to-month,0,20.350000381469727
25,0,Month-to-month,0,75.5
72,0,Two year,0,79.05000305175781
27,0,Month-to-month,0,90.1500015258789
32,0,Month-to-month,0,50.59999847412109
30,0,One year,0,110.4499969482422
70,0,Two year,0,101.0
42,0,Month-to-month,1,79.3499984741211
72,0,Two year,1,89.8499984741211
47,0,Two year,0,65.0
2,0,Month-to-month,0,80.44999694824219
10,1,Month-to-month,0,98.5500030517578
61,0,Two year,0,24.100000381469727
5,0,Month-to-month,0,44.04999923706055
72,0,Two year,1,110.8000030517578
72,0,Two year,1,114.9499969482422
3,0,Month-to-month,1,75.05000305175781
